room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16344456,1099,21209213,Entire home/apt,,Brno,,Brno,0,0.0,3,1.0,,45.0,,2017-04-12 12:37:45.153789,49.198405,16.596931,0101000020E6100000F5F75278D0983040732EC55565994840
16747815,1099,29463043,Entire home/apt,,Brno,,Brno,0,0.0,4,1.0,,60.0,,2017-04-12 12:37:45.147298,49.198129,16.65016,0101000020E6100000D82AC1E270A63040D1B1834A5C994840
3160656,1099,149663,Entire home/apt,,Brno,,Brno,4,4.5,4,1.0,,59.0,,2017-04-12 12:37:45.141425,49.190567,16.60508,0101000020E6100000B476DB85E69A30403259DC7F64984840
15960223,1099,103644182,Entire home/apt,,Brno,,Brno,5,4.5,4,0.0,,57.0,,2017-04-12 12:37:45.138610,49.183815,16.593968,0101000020E6100000DBDE6E490E983040D3C1FA3F87974840
7713349,1099,40521246,Entire home/apt,,Brno,,Brno,32,4.5,4,1.0,,43.0,,2017-04-12 12:37:45.133572,49.21424,16.624621,0101000020E610000013656F29E79F30405DBF60376C9B4840
9516382,1099,29371815,Entire home/apt,,Brno,,Brno,32,4.5,4,2.0,,49.0,,2017-04-12 12:37:45.130411,49.209858,16.627185,0101000020E6100000B18A37328FA03040E8667FA0DC9A4840
17512834,1099,55550767,Entire home/apt,,Brno,,Brno,0,0.0,4,1.0,,43.0,,2017-04-12 12:37:45.126242,49.212022,16.567047,0101000020E61000007F4B00FE2991304029047289239B4840
4963456,1099,23493460,Entire home/apt,,Brno,,Brno,25,4.5,3,2.0,,62.0,,2017-04-12 12:37:45.118001,49.182139,16.59261,0101000020E61000005648F949B5973040BF29AC5450974840
17231286,1099,86542407,Entire home/apt,,Brno,,Brno,0,0.0,3,1.0,,56.0,,2017-04-12 12:37:45.029341,49.191344,16.607007,0101000020E61000006D718DCF649B30409624CFF57D984840
16214033,1099,105742013,Entire home/apt,,Brno,,Brno,2,0.0,4,2.0,,58.0,,2017-04-12 12:37:43.729683,49.175289,16.604643,0101000020E61000005DC136E2C99A30409D2CB5DE6F964840
3639446,1099,18366595,Entire home/apt,,Brno,,Brno,25,4.5,4,2.0,,57.0,,2017-04-12 12:37:43.727577,49.200587,16.600164,0101000020E61000008E3C1059A49930405A80B6D5AC994840
13036449,1099,71781469,Entire home/apt,,Brno,,Brno,23,4.5,2,1.0,,42.0,,2017-04-12 12:37:43.725055,49.193039,16.612171,0101000020E6100000438F183DB79C304020ED7F80B5984840
17706769,1099,82613790,Entire home/apt,,Brno,,Brno,0,0.0,6,2.0,,47.0,,2017-04-12 12:37:43.723140,49.197898,16.620174,0101000020E61000005AD427B9C39E3040CFF8BEB854994840
16933639,1099,17401026,Entire home/apt,,Brno,,Brno,1,0.0,4,0.0,,58.0,,2017-04-12 12:37:43.721207,49.19429,16.609224,0101000020E610000035F0A31AF69B30404DF8A57EDE984840
13473308,1099,77087955,Entire home/apt,,Brno,,Brno,6,4.5,5,2.0,,49.0,,2017-04-12 12:37:43.718481,49.207802,16.575642,0101000020E61000003B342C465D9330408E058541999A4840
5930121,1099,30789537,Entire home/apt,,Brno,,Brno,28,4.5,3,1.0,,53.0,,2017-04-12 12:37:43.715710,49.198226,16.591645,0101000020E610000088D7F50B76973040C39B35785F994840
17550175,1099,115631650,Entire home/apt,,Brno,,Brno,2,0.0,4,1.0,,57.0,,2017-04-12 12:37:43.713666,49.179793,16.569395,0101000020E61000008481E7DEC39130405D86FF7403974840
13426213,1099,49279418,Entire home/apt,,Brno,,Brno,16,5.0,5,2.0,,60.0,,2017-04-12 12:37:43.711649,49.197676,16.605199,0101000020E610000068925852EE9A3040209A79724D994840
614785,1099,2826581,Entire home/apt,,Brno,,Brno,57,5.0,3,0.0,,43.0,,2017-04-12 12:37:43.707522,49.195031,16.612109,0101000020E61000005796E82CB39C3040645A9BC6F6984840
11110826,1099,57719244,Entire home/apt,,Brno,,Brno,22,5.0,2,1.0,,42.0,,2017-04-12 12:37:43.703528,49.227331,16.595964,0101000020E6100000E597C11891983040F92EA52E199D4840
1314685,1099,7143199,Entire home/apt,,Brno,,Brno,56,4.5,2,1.0,,58.0,,2017-04-12 12:37:43.697601,49.207374,16.604381,0101000020E6100000E35295B6B89A30403605323B8B9A4840
16076186,1099,104751010,Entire home/apt,,Brno,,Brno,16,4.0,5,1.0,,54.0,,2017-04-12 12:37:42.094942,49.193546,16.606073,0101000020E610000015FDA199279B3040C422861DC6984840
14408803,1099,86542407,Entire home/apt,,Brno,,Brno,19,5.0,4,2.0,,59.0,,2017-04-12 12:37:42.091803,49.196116,16.609497,0101000020E61000009702D2FE079C3040761C3F541A994840
