room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7625526,31873258,Entire home/apt,,Brno,2,,5,2.0,68.0,1.0,49.188912,16.587573,2016-11-05 18:26:05.411608
12429140,55635986,Entire home/apt,,Brno,4,5.0,4,1.0,63.0,1.0,49.187317,16.600598,2016-11-05 18:41:21.778345
8198083,3566484,Entire home/apt,,Brno,4,5.0,4,,68.0,1.0,49.192352,16.605861,2016-11-05 18:40:46.647007
14561550,64880546,Entire home/apt,,Brno,1,,4,,84.0,1.0,49.188736,16.593269,2016-11-05 18:37:18.637695
13052284,29872374,Entire home/apt,,Brno,13,4.5,4,,63.0,1.0,49.198055,16.616481,2016-11-05 18:39:00.893554
2833798,14496677,Entire home/apt,,Brno,19,4.5,5,,41.0,1.0,49.197372,16.593016,2016-11-05 18:48:44.359152
699815,2802348,Entire home/apt,,Brno,106,4.5,10,,38.0,1.0,49.195372,16.62376,2016-11-05 18:48:25.541807
14621797,11549602,Entire home/apt,,Brno,0,,3,,84.0,2.0,49.242943,16.539493,2016-11-05 18:39:28.694313
14570170,36327375,Entire home/apt,,Brno,2,,3,,31.0,1.0,49.211417,16.549643,2016-11-05 18:18:45.252933
10134792,3327858,Entire home/apt,,Brno,20,5.0,4,1.0,53.0,1.0,49.213108,16.571907,2016-11-05 18:23:58.412469
4505416,23365111,Entire home/apt,,Brno,14,5.0,2,0.0,82.0,1.0,49.245647,16.581422,2016-11-05 18:34:07.019945
7777714,40920217,Entire home/apt,,Brno,10,4.5,4,2.0,46.0,2.0,49.197271,16.64634,2016-11-05 18:27:03.010968
15443357,16514467,Entire home/apt,,Brno,0,,3,1.0,42.0,1.0,49.188805,16.598761,2016-11-05 18:40:27.493259
13893719,3566484,Entire home/apt,,Brno,1,,4,1.0,74.0,1.0,49.190687,16.607499,2016-11-05 18:40:22.143893
13726696,80266203,Entire home/apt,,Brno,1,,6,,59.0,1.0,49.192761,16.60318,2016-11-05 18:41:00.678611
13404156,76304496,Entire home/apt,,Brno,1,,3,0.0,35.0,1.0,49.195589,16.606606,2016-11-05 18:39:51.807861
6547071,34115236,Entire home/apt,,Brno,3,3.5,4,,80.0,1.0,49.205353,16.625766,2016-11-05 18:24:17.613487
1061239,5843024,Entire home/apt,,Brno,21,5.0,2,1.0,66.0,1.0,49.188816,16.606871,2016-11-05 18:42:29.042399
15108426,74968618,Entire home/apt,,Brno,1,,2,1.0,32.0,1.0,49.187538,16.588043,2016-11-05 18:25:53.627495
14632502,88658083,Entire home/apt,,Brno,2,,4,,60.0,,49.204934,16.603625,2016-11-05 18:45:39.266066
13389987,76144804,Entire home/apt,,Brno,4,5.0,2,1.0,24.0,1.0,49.191448,16.619638,2016-11-05 18:26:11.093287
14570027,83756908,Entire home/apt,,Brno,1,,2,1.0,38.0,1.0,49.193997,16.623396,2016-11-05 18:27:15.070187
5383402,13159004,Entire home/apt,,Brno,60,5.0,2,,31.0,2.0,49.191538,16.603818,2016-11-05 18:29:46.249079
6207438,3566484,Entire home/apt,,Brno,15,4.5,3,,52.0,1.0,49.195752,16.606511,2016-11-05 18:30:52.270232
3470965,11196915,Entire home/apt,,Brno,57,5.0,3,,57.0,1.0,49.196616,16.608635,2016-11-05 18:22:56.309901
8319645,38655874,Entire home/apt,,Brno,3,5.0,7,,136.0,1.0,49.203298,16.596455,2016-11-05 18:45:25.129863
6606878,34568252,Entire home/apt,,Brno,20,5.0,2,1.0,36.0,1.0,49.202375,16.600848,2016-11-05 18:28:58.828373
14274704,87050892,Entire home/apt,,Brno,3,5.0,3,2.0,50.0,2.0,49.217156,16.578167,2016-11-05 18:18:50.563531
10404876,40088289,Entire home/apt,,Brno,0,,3,,59.0,,49.202084,16.606846,2016-11-05 18:22:49.333308
7640217,40088289,Entire home/apt,,Brno,15,5.0,2,0.0,109.0,,49.202455,16.606895,2016-11-05 18:34:40.165059
7685523,40088289,Entire home/apt,,Brno,28,5.0,2,0.0,55.0,,49.202855,16.607213,2016-11-05 18:43:07.459489
12945087,29872374,Entire home/apt,,Brno,18,4.5,4,2.0,63.0,1.0,49.200393,16.619133,2016-11-05 18:21:33.145532
14052029,84280408,Entire home/apt,,Brno,2,,4,2.0,35.0,1.0,49.220273,16.585024,2016-11-05 18:28:11.297409
